A,B,X,rA,rB,rX,TF,target
Guanidinium,Fe,F,278,78,128.4867228,1.392,0
Tetramethylammoium,Fe,F,292,78,128.4705298,1.44,0
Thiazolium,Fe,F,320,78,128.44377,1.536,0
Tropylium,Fe,F,333,78,128.5684843,1.58,0
Ammonium,Co,F,146,74.5,128.6318294,0.956,1
Hydroxylammonium,Co,F,216,74.5,128.4965228,1.2,0
Methylammonium,Co,F,217,74.5,128.6943824,1.203,0
Hydrazinium,Co,F,217,74.5,128.6943824,1.203,0
Azetidinium,Co,F,250,74.5,128.6406411,1.318,0
Formamidinium,Co,F,253,74.5,128.4585733,1.329,0
Imidazolium,Co,F,258,74.5,128.5919887,1.346,0
Dimethylammonium,Co,F,272,74.5,128.5163773,1.395,0
Pyrrolinium,Co,F,272,74.5,128.5163773,1.395,0
Ethylammonium,Co,F,274,74.5,128.5064462,1.402,0
Guanidinium,Co,F,278,74.5,128.4871723,1.416,0
Tetramethylammoium,Co,F,292,74.5,128.4253213,1.465,0
Thiazolium,Co,F,320,74.5,128.5601144,1.562,0
Tropylium,Co,F,333,74.5,128.3954144,1.608,0
Ammonium,Ni,F,146,69,128.348896,0.983,1
Hydroxylammonium,Ni,F,216,69,128.653617,1.233,0
Methylammonium,Ni,F,217,69,128.4960235,1.237,0
Hydrazinium,Ni,F,217,69,128.4960235,1.237,0
Azetidinium,Ni,F,250,69,128.5423167,1.355,0
Formamidinium,Ni,F,253,69,128.463935,1.366,0
Imidazolium,Ni,F,258,69,128.4361361,1.384,0
Dimethylammonium,Ni,F,272,69,128.4742271,1.434,0
Pyrrolinium,Ni,F,272,69,128.4742271,1.434,0
Ethylammonium,Ni,F,274,69,128.5176857,1.441,0
Guanidinium,Ni,F,278,69,128.6021624,1.455,0
Tetramethylammoium,Ni,F,292,69,128.3790846,1.506,0
Thiazolium,Ni,F,320,69,128.4470364,1.606,0
Tropylium,Ni,F,333,69,128.5632659,1.652,0
Ammonium,Pd,F,146,86,128.3904027,0.905,1
Hydroxylammonium,Pd,F,216,86,128.32813,1.136,0
Methylammonium,Pd,F,217,86,128.4765982,1.139,0
Hydrazinium,Pd,F,217,86,128.4765982,1.139,0
Azetidinium,Pd,F,250,86,128.3963135,1.248,0
Formamidinium,Pd,F,253,86,128.3552115,1.258,0
Imidazolium,Pd,F,258,86,128.5419319,1.274,0
Dimethylammonium,Pd,F,272,86,128.5918037,1.32,0
Pyrrolinium,Pd,F,272,86,128.5918037,1.32,0
Ethylammonium,Pd,F,274,86,128.4499582,1.327,0
Guanidinium,Pd,F,278,86,128.5140728,1.34,0
