A,B,X,rA,rB,rX,TF,target
Ethylammonium,Cu,Cl,274,73,180.849231,1.267,0
Guanidinium,Cu,Cl,278,73,180.91244,1.278,0
Tetramethylammoium,Cu,Cl,292,73,180.9073731,1.317,0
Thiazolium,Cu,Cl,320,73,180.8989631,1.395,0
Tropylium,Cu,Cl,333,73,180.9708321,1.431,0
Ammonium,Zn,Cl,146,74,180.6944241,0.907,1
Hydroxylammonium,Zn,Cl,216,74,180.9146777,1.101,0
Methylammonium,Zn,Cl,217,74,180.7694567,1.104,0
Hydrazinium,Zn,Cl,217,74,180.7694567,1.104,0
Azetidinium,Zn,Cl,250,74,181.0779324,1.195,0
Formamidinium,Zn,Cl,253,74,181.2406628,1.203,0
Imidazolium,Zn,Cl,258,74,181.1664602,1.217,0
Dimethylammonium,Zn,Cl,272,74,181.0717296,1.256,0
Pyrrolinium,Zn,Cl,272,74,181.0717296,1.256,0
Ethylammonium,Zn,Cl,274,74,180.8622896,1.262,0
Guanidinium,Zn,Cl,278,74,180.906365,1.273,0
Tetramethylammoium,Zn,Cl,292,74,180.8371737,1.312,0
Thiazolium,Zn,Cl,320,74,181.0960522,1.389,0
Tropylium,Zn,Cl,333,74,181.1084918,1.425,0
Ammonium,Cd,Cl,146,95,180.5104211,0.838,1
Hydroxylammonium,Cd,Cl,216,95,181.094846,1.017,0
Methylammonium,Cd,Cl,217,95,180.7075645,1.02,0
Hydrazinium,Cd,Cl,217,95,180.7075645,1.02,0
Azetidinium,Cd,Cl,250,95,181.1487118,1.104,0
Formamidinium,Cd,Cl,253,95,180.9316932,1.112,0
Imidazolium,Cd,Cl,258,95,180.8082691,1.125,0
Dimethylammonium,Cd,Cl,272,95,180.7430494,1.161,0
Pyrrolinium,Cd,Cl,272,95,180.7430494,1.161,0
Ethylammonium,Cd,Cl,274,95,180.8204058,1.166,0
Guanidinium,Cd,Cl,278,95,180.9701693,1.176,0
Tetramethylammoium,Cd,Cl,292,95,180.8999937,1.212,0
Thiazolium,Cd,Cl,320,95,180.7859177,1.284,0
Tropylium,Cd,Cl,333,95,180.9358667,1.317,0
Ammonium,Hg,Cl,146,102,181.1175455,0.817,1
Hydroxylammonium,Hg,Cl,216,102,180.9487251,0.992,1
Methylammonium,Hg,Cl,217,102,181.4409268,0.994,1
Hydrazinium,Hg,Cl,217,102,181.4409268,0.994,1
Azetidinium,Hg,Cl,250,102,180.9243638,1.077,0
Formamidinium,Hg,Cl,253,102,181.2980766,1.084,0
Imidazolium,Hg,Cl,258,102,180.9201754,1.097,0
Dimethylammonium,Hg,Cl,272,102,180.9137945,1.132,0
Pyrrolinium,Hg,Cl,272,102,180.9137945,1.132,0
Ethylammonium,Hg,Cl,274,102,180.9129678,1.137,0
Guanidinium,Hg,Cl,278,102,180.9113707,1.147,0
Tetramethylammoium,Hg,Cl,292,102,180.9063105,1.182,0
Thiazolium,Hg,Cl,320,102,180.8981404,1.252,0
Tropylium,Hg,Cl,333,102,181.1402088,1.284,0
Ammonium,Ge,Cl,146,73,181.413604,0.91,1
Hydroxylammonium,Ge,Cl,216,73,181.1291606,1.105,0
Methylammonium,Ge,Cl,217,73,180.9912668,1.108,0
Hydrazinium,Ge,Cl,217,73,180.9912668,1.108,0
Azetidinium,Ge,Cl,250,73,180.9249791,1.2,0
Formamidinium,Ge,Cl,253,73,181.1044994,1.208,0
Imidazolium,Ge,Cl,258,73,181.0619098,1.222,0
Dimethylammonium,Ge,Cl,272,73,181.0458064,1.261,0
Pyrrolinium,Ge,Cl,272,73,181.0458064,1.261,0
Ethylammonium,Ge,Cl,274,73,180.849231,1.267,0
Guanidinium,Ge,Cl,278,73,180.91244,1.278,0
Tetramethylammoium,Ge,Cl,292,73,180.9073731,1.317,0
Thiazolium,Ge,Cl,320,73,180.8989631,1.395,0
Tropylium,Ge,Cl,333,73,180.9708321,1.431,0
Ammonium,Sn,Cl,146,115,181.6484688,0.781,0
Hydroxylammonium,Sn,Cl,216,115,181.4707153,0.948,1
Methylammonium,Sn,Cl,217,115,180.7232351,0.951,1
Hydrazinium,Sn,Cl,217,115,180.7232351,0.951,1
Azetidinium,Sn,Cl,250,115,180.6377214,1.03,0
Formamidinium,Sn,Cl,253,115,180.7949125,1.037,0
Imidazolium,Sn,Cl,258,115,180.7539493,1.049,0
Dimethylammonium,Sn,Cl,272,115,181.126361,1.082,0
Pyrrolinium,Sn,Cl,272,115,181.126361,1.082,0
Ethylammonium,Sn,Cl,274,115,180.951527,1.087,0
Guanidinium,Sn,Cl,278,115,181.3754567,1.096,0
Tetramethylammoium,Sn,Cl,292,115,180.9562715,1.13,0
Thiazolium,Sn,Cl,320,115,180.8948697,1.197,0
Tropylium,Sn,Cl,333,115,180.932588,1.228,0
Ammonium,Pb,Cl,146,119,179.8092234,0.771,0
Hydroxylammonium,Pb,Cl,216,119,180.6565741,0.936,1
Methylammonium,Pb,Cl,217,119,181.123429,0.938,1
Hydrazinium,Pb,Cl,217,119,181.123429,0.938,1
Azetidinium,Pb,Cl,250,119,180.880291,1.016,0
Formamidinium,Pb,Cl,253,119,180.9504359,1.023,0
Imidazolium,Pb,Cl,258,119,180.7556428,1.035,0
Dimethylammonium,Pb,Cl,272,119,180.7765873,1.068,0
Pyrrolinium,Pb,Cl,272,119,180.7765873,1.068,0
Ethylammonium,Pb,Cl,274,119,181.3660946,1.072,0
Guanidinium,Pb,Cl,278,119,180.8986713,1.082,0
Tetramethylammoium,Pb,Cl,292,119,180.9056309,1.115,0
Thiazolium,Pb,Cl,320,119,180.9166423,1.181,0
Tropylium,Pb,Cl,333,119,180.7086226,1.212,0
Ammonium,Eu,Cl,146,117,180.6504365,0.776,0
Hydroxylammonium,Eu,Cl,216,117,181.0229557,0.942,1
Methylammonium,Eu,Cl,217,117,181.4917782,0.944,1
Hydrazinium,Eu,Cl,217,117,181.4917782,0.944,1
Azetidinium,Eu,Cl,250,117,180.7119998,1.023,0
Formamidinium,Eu,Cl,253,117,180.8276304,1.03,0
Imidazolium,Eu,Cl,258,117,180.712974,1.042,0
Dimethylammonium,Eu,Cl,272,117,180.9167472,1.075,0
Pyrrolinium,Eu,Cl,272,117,180.9167472,1.075,0
Ethylammonium,Eu,Cl,274,117,180.7146246,1.08,0
Guanidinium,Eu,Cl,278,117,181.1047742,1.089,0
Tetramethylammoium,Eu,Cl,292,117,181.2543004,1.122,0
Thiazolium,Eu,Cl,320,117,180.8723729,1.189,0
Tropylium,Eu,Cl,333,117,180.7911564,1.22,0
Ammonium,Tm,Cl,146,103,181.448274,0.814,1
Hydroxylammonium,Tm,Cl,216,103,181.4606453,0.988,1
Methylammonium,Tm,Cl,217,103,180.9453982,0.991,1
Hydrazinium,Tm,Cl,217,103,180.9453982,0.991,1
Azetidinium,Tm,Cl,250,103,181.0847862,1.073,0
Formamidinium,Tm,Cl,253,103,180.6799702,1.081,0
Imidazolium,Tm,Cl,258,103,181.0204122,1.093,0
Dimethylammonium,Tm,Cl,272,103,180.9224789,1.128,0
Pyrrolinium,Tm,Cl,272,103,180.9224789,1.128,0
Ethylammonium,Tm,Cl,274,103,180.9098024,1.133,0
Guanidinium,Tm,Cl,278,103,180.8853218,1.143,0
Tetramethylammoium,Tm,Cl,292,103,180.807828,1.178,0
Thiazolium,Tm,Cl,320,103,181.2083697,1.247,0
Tropylium,Tm,Cl,333,103,180.8828499,1.28,0
Ammonium,Yb,Cl,146,102,181.1175455,0.817,1
Hydroxylammonium,Yb,Cl,216,102,180.9487251,0.992,1
Methylammonium,Yb,Cl,217,102,181.4409268,0.994,1
Hydrazinium,Yb,Cl,217,102,181.4409268,0.994,1
Azetidinium,Yb,Cl,250,102,180.9243638,1.077,0
Formamidinium,Yb,Cl,253,102,181.2980766,1.084,0
Imidazolium,Yb,Cl,258,102,180.9201754,1.097,0
Dimethylammonium,Yb,Cl,272,102,180.9137945,1.132,0
Pyrrolinium,Yb,Cl,272,102,180.9137945,1.132,0
Ethylammonium,Yb,Cl,274,102,180.9129678,1.137,0
Guanidinium,Yb,Cl,278,102,180.9113707,1.147,0
Tetramethylammoium,Yb,Cl,292,102,180.9063105,1.182,0
Thiazolium,Yb,Cl,320,102,180.8981404,1.252,0
Tropylium,Yb,Cl,333,102,181.1402088,1.284,0
Ammonium,Be,Br,146,45,196.3633715,1.003,0
Hydroxylammonium,Be,Br,216,45,195.9182971,1.209,0
Methylammonium,Be,Br,217,45,195.8873042,1.212,0
Hydrazinium,Be,Br,217,45,195.8873042,1.212,0
Azetidinium,Be,Br,250,45,195.834895,1.309,0
Formamidinium,Be,Br,253,45,196.1540348,1.317,0
Imidazolium,Be,Br,258,45,196.0231698,1.332,0
Dimethylammonium,Be,Br,272,45,196.0495178,1.373,0
Pyrrolinium,Be,Br,272,45,196.0495178,1.373,0
Ethylammonium,Be,Br,274,45,196.0017669,1.379,0
Guanidinium,Be,Br,278,45,195.9087786,1.391,0
Tetramethylammoium,Be,Br,292,45,195.9394521,1.432,0
Thiazolium,Be,Br,320,45,195.9914476,1.514,0
Tropylium,Be,Br,333,45,196.0325334,1.552,0
Ammonium,Mg,Br,146,72,196.4849792,0.902,1
Hydroxylammonium,Mg,Br,216,72,196.0315716,1.087,0
Methylammonium,Mg,Br,217,72,195.7782688,1.09,0
Hydrazinium,Mg,Br,217,72,195.7782688,1.09,0
Azetidinium,Mg,Br,250,72,195.8587432,1.177,0
Formamidinium,Mg,Br,253,72,195.8136503,1.185,0
Imidazolium,Mg,Br,258,72,195.9235652,1.198,0
Dimethylammonium,Mg,Br,272,72,195.8976566,1.235,0
Pyrrolinium,Mg,Br,272,72,195.8976566,1.235,0
Ethylammonium,Mg,Br,274,72,196.0378822,1.24,0
Guanidinium,Mg,Br,278,72,195.8172698,1.251,0
Tetramethylammoium,Mg,Br,292,72,195.8004956,1.288,0
Thiazolium,Mg,Br,320,72,196.1821384,1.361,0
Tropylium,Mg,Br,333,72,195.9005466,1.396,0
Ammonium,Ca,Br,146,100,195.9865248,0.817,1
Hydroxylammonium,Ca,Br,216,100,196.2311138,0.984,1
Methylammonium,Ca,Br,217,100,195.582343,0.987,1
Hydrazinium,Ca,Br,217,100,195.582343,0.987,1
Azetidinium,Ca,Br,250,100,196.3621874,1.065,0
Formamidinium,Ca,Br,253,100,195.6800836,1.073,0
Imidazolium,Ca,Br,258,100,195.6466691,1.085,0
Dimethylammonium,Ca,Br,272,100,195.9950683,1.118,0
Pyrrolinium,Ca,Br,272,100,195.9950683,1.118,0
Ethylammonium,Ca,Br,274,100,195.8369465,1.123,0
Guanidinium,Ca,Br,278,100,196.2273849,1.132,0
Tetramethylammoium,Ca,Br,292,100,195.8520554,1.166,0
Thiazolium,Ca,Br,320,100,195.8081342,1.233,0
Tropylium,Ca,Br,333,100,195.8482424,1.264,0
Ammonium,Sr,Br,146,118,196.803253,0.77,0
Hydroxylammonium,Sr,Br,216,118,195.7102394,0.928,1
Methylammonium,Sr,Br,217,118,196.0677483,0.93,1
Hydrazinium,Sr,Br,217,118,196.0677483,0.93,1
Azetidinium,Sr,Br,250,118,196.3827114,1.004,0
Formamidinium,Sr,Br,253,118,196.1215715,1.011,0
Imidazolium,Sr,Br,258,118,196.3762503,1.022,0
Dimethylammonium,Sr,Br,272,118,195.9134419,1.054,0
Pyrrolinium,Sr,Br,272,118,195.9134419,1.054,0
Ethylammonium,Sr,Br,274,118,196.3653167,1.058,0
Guanidinium,Sr,Br,278,118,196.3629251,1.067,0
Tetramethylammoium,Sr,Br,292,118,195.9543478,1.099,0
Thiazolium,Sr,Br,320,118,195.9980195,1.162,0
Tropylium,Sr,Br,333,118,196.1766655,1.191,0
Ammonium,Ba,Br,146,135,190.5390014,0.731,0
Hydroxylammonium,Ba,Br,216,135,196.2775924,0.88,1
Methylammonium,Ba,Br,217,135,196.5323284,0.882,1
Hydrazinium,Ba,Br,217,135,196.5323284,0.882,1
Azetidinium,Ba,Br,250,135,195.7015957,0.953,1
Formamidinium,Ba,Br,253,135,196.2459167,0.959,1
Imidazolium,Ba,Br,258,135,195.8344524,0.97,1
Dimethylammonium,Ba,Br,272,135,195.747258,1,1
Pyrrolinium,Ba,Br,272,135,195.747258,1,1
Ethylammonium,Ba,Br,274,135,196.0545218,1.004,0
Guanidinium,Ba,Br,278,135,195.5606777,1.013,0
Tetramethylammoium,Ba,Br,292,135,195.5090976,1.043,0
Thiazolium,Ba,Br,320,135,196.2661456,1.102,0
Tropylium,Ba,Br,333,135,196.0697274,1.13,0
Ammonium,Mn,Br,146,83,195.609234,0.867,1
Hydroxylammonium,Mn,Br,216,83,196.1543333,1.044,0
Methylammonium,Mn,Br,217,83,195.7708122,1.047,0
Hydrazinium,Mn,Br,217,83,195.7708122,1.047,0
Azetidinium,Mn,Br,250,83,196.2355782,1.13,0
Formamidinium,Mn,Br,253,83,195.9743434,1.138,0
Imidazolium,Mn,Br,258,83,195.7690405,1.151,0
Dimethylammonium,Mn,Br,272,83,196.0667656,1.186,0
Pyrrolinium,Mn,Br,272,83,196.0667656,1.186,0
Ethylammonium,Mn,Br,274,83,196.1057819,1.191,0
Guanidinium,Mn,Br,278,83,196.1814447,1.201,0
Tetramethylammoium,Mn,Br,292,83,195.8964116,1.237,0
Thiazolium,Mn,Br,320,83,195.8919926,1.308,0
Tropylium,Mn,Br,333,83,195.8745644,1.341,0
Ammonium,Fe,Br,146,78,195.3662016,0.883,1
Hydroxylammonium,Fe,Br,216,78,196.1854316,1.063,0
Methylammonium,Fe,Br,217,78,195.8637495,1.066,0
Hydrazinium,Fe,Br,217,78,195.8637495,1.066,0
Azetidinium,Fe,Br,250,78,195.9901427,1.151,0
Formamidinium,Fe,Br,253,78,195.8339093,1.159,0
Imidazolium,Fe,Br,258,78,195.7816244,1.172,0
Dimethylammonium,Fe,Br,272,78,195.8681827,1.208,0
Pyrrolinium,Fe,Br,272,78,195.8681827,1.208,0
Ethylammonium,Fe,Br,274,78,195.9568825,1.213,0
Guanidinium,Fe,Br,278,78,196.1291242,1.223,0
Tetramethylammoium,Fe,Br,292,78,196.1850163,1.259,0
Thiazolium,Fe,Br,320,78,195.838531,1.332,0
Tropylium,Fe,Br,333,78,196.0752208,1.365,0
Ammonium,Co,Br,146,74.5,196.0188298,0.894,1
Hydroxylammonium,Co,Br,216,74.5,195.9986316,1.077,0
Methylammonium,Co,Br,217,74.5,195.7186879,1.08,0
Hydrazinium,Co,Br,217,74.5,195.7186879,1.08,0
Azetidinium,Co,Br,250,74.5,195.9272694,1.166,0
Formamidinium,Co,Br,253,74.5,195.8371036,1.174,0
Imidazolium,Co,Br,258,74.5,195.8811791,1.187,0
Dimethylammonium,Co,Br,272,74.5,196.2025101,1.223,0
Pyrrolinium,Co,Br,272,74.5,196.2025101,1.223,0
Ethylammonium,Co,Br,274,74.5,195.8001261,1.229,0
Guanidinium,Co,Br,278,74.5,196.0359363,1.239,0
Tetramethylammoium,Co,Br,292,74.5,195.8419901,1.276,0
Thiazolium,Co,Br,320,74.5,195.9417334,1.349,0
Tropylium,Co,Br,333,74.5,195.9378411,1.383,0
Ammonium,Ni,Br,146,69,195.4439796,0.913,1
Hydroxylammonium,Ni,Br,216,69,196.2372938,1.099,0
Methylammonium,Ni,Br,217,69,196.0129165,1.102,0
Hydrazinium,Ni,Br,217,69,196.0129165,1.102,0
Azetidinium,Ni,Br,250,69,196.0406392,1.19,0
Formamidinium,Ni,Br,253,69,196.0426666,1.198,0
Imidazolium,Ni,Br,258,69,196.2212347,1.211,0
Dimethylammonium,Ni,Br,272,69,195.8910737,1.249,0
Pyrrolinium,Ni,Br,272,69,195.8910737,1.249,0
Ethylammonium,Ni,Br,274,69,196.0551975,1.254,0
Guanidinium,Ni,Br,278,69,195.898931,1.265,0
Tetramethylammoium,Ni,Br,292,69,196.0640606,1.302,0
Thiazolium,Ni,Br,320,69,195.9434225,1.377,0
Tropylium,Ni,Br,333,69,195.829034,1.412,0
Ammonium,Pd,Br,146,86,195.168413,0.858,1
Hydroxylammonium,Pd,Br,216,86,196.0674879,1.033,0
Methylammonium,Pd,Br,217,86,195.6445674,1.036,0
Hydrazinium,Pd,Br,217,86,195.6445674,1.036,0
Azetidinium,Pd,Br,250,86,196.2278558,1.118,0
Formamidinium,Pd,Br,253,86,195.9019911,1.126,0
Imidazolium,Pd,Br,258,86,196.2563945,1.138,0
Dimethylammonium,Pd,Br,272,86,196.3004414,1.173,0
Pyrrolinium,Pd,Br,272,86,196.3004414,1.173,0
Ethylammonium,Pd,Br,274,86,195.7079576,1.179,0
Guanidinium,Pd,Br,278,86,195.7315054,1.189,0
Tetramethylammoium,Pd,Br,292,86,195.8067477,1.224,0
Thiazolium,Pd,Br,320,86,195.9303095,1.294,0
Tropylium,Pd,Br,333,86,196.2059923,1.326,0
Ammonium,Pt,Br,146,80,196.3228026,0.876,1
Hydroxylammonium,Pt,Br,216,80,195.6331079,1.056,0
Methylammonium,Pt,Br,217,80,196.0772333,1.058,0
Hydrazinium,Pt,Br,217,80,196.0772333,1.058,0
Azetidinium,Pt,Br,250,80,195.7743126,1.143,0
Formamidinium,Pt,Br,253,80,196.2053424,1.15,0
Imidazolium,Pt,Br,258,80,196.0844028,1.163,0
Dimethylammonium,Pt,Br,272,80,196.0040122,1.199,0
Pyrrolinium,Pt,Br,272,80,196.0040122,1.199,0
Ethylammonium,Pt,Br,274,80,196.0728268,1.204,0
Guanidinium,Pt,Br,278,80,196.2063833,1.214,0
Tetramethylammoium,Pt,Br,292,80,196.125456,1.25,0
Thiazolium,Pt,Br,320,80,195.9920297,1.322,0
Tropylium,Pt,Br,333,80,196.1226857,1.355,0
Ammonium,Cu,Br,146,73,195.9974943,0.899,1
Hydroxylammonium,Cu,Br,216,73,196.002644,1.083,0
Methylammonium,Cu,Br,217,73,195.7389783,1.086,0
Hydrazinium,Cu,Br,217,73,195.7389783,1.086,0
Azetidinium,Cu,Br,250,73,196.2185973,1.172,0
Formamidinium,Cu,Br,253,73,196.1500228,1.18,0
Imidazolium,Cu,Br,258,73,196.2253142,1.193,0
Dimethylammonium,Cu,Br,272,73,196.1070459,1.23,0
Pyrrolinium,Cu,Br,272,73,196.1070459,1.23,0
Ethylammonium,Cu,Br,274,73,196.2371448,1.235,0
Guanidinium,Cu,Br,278,73,195.990006,1.246,0
Tetramethylammoium,Cu,Br,292,73,195.8977401,1.283,0
Thiazolium,Cu,Br,320,73,196.1588845,1.356,0
Tropylium,Cu,Br,333,73,195.8252465,1.391,0
Ammonium,Zn,Br,146,74,195.5262888,0.896,1
Hydroxylammonium,Zn,Br,216,74,195.9946056,1.079,0
Methylammonium,Zn,Br,217,74,195.7201887,1.082,0
Hydrazinium,Zn,Br,217,74,195.7201887,1.082,0
Azetidinium,Zn,Br,250,74,196.0208821,1.168,0
Formamidinium,Zn,Br,253,74,195.9380344,1.176,0
Imidazolium,Zn,Br,258,74,195.9926927,1.189,0
Dimethylammonium,Zn,Br,272,74,195.8187943,1.226,0
Pyrrolinium,Zn,Br,272,74,195.8187943,1.226,0
Ethylammonium,Zn,Br,274,74,195.9430937,1.231,0
Guanidinium,Zn,Br,278,74,196.1847079,1.241,0
Tetramethylammoium,Zn,Br,292,74,196.0142044,1.278,0
Thiazolium,Zn,Br,320,74,196.1508,1.351,0
Tropylium,Zn,Br,333,74,196.1615111,1.385,0
Ammonium,Cd,Br,146,95,196.0768336,0.831,1
Hydroxylammonium,Cd,Br,216,95,196.1258751,1.001,0
Methylammonium,Cd,Br,217,95,195.5658393,1.004,0
Hydrazinium,Cd,Br,217,95,195.5658393,1.004,0
Azetidinium,Cd,Br,250,95,195.8026614,1.084,0
Formamidinium,Cd,Br,253,95,196.025905,1.091,0
Imidazolium,Cd,Br,258,95,196.1350835,1.103,0
Dimethylammonium,Cd,Br,272,95,196.137182,1.137,0
Pyrrolinium,Cd,Br,272,95,196.137182,1.137,0
Ethylammonium,Cd,Br,274,95,196.0418198,1.142,0
Guanidinium,Cd,Br,278,95,195.857526,1.152,0
Tetramethylammoium,Cd,Br,292,95,195.8791155,1.186,0
Thiazolium,Cd,Br,320,95,195.9142412,1.254,0
Tropylium,Cd,Br,333,95,196.2154157,1.285,0
Ammonium,Hg,Br,146,102,194.6130578,0.812,1
Hydroxylammonium,Hg,Br,216,102,195.5717643,0.978,1
Methylammonium,Hg,Br,217,102,195.9820466,0.98,1
Hydrazinium,Hg,Br,217,102,195.9820466,0.98,1
Azetidinium,Hg,Br,250,102,196.2440184,1.058,0
Formamidinium,Hg,Br,253,102,196.3379353,1.065,0
Imidazolium,Hg,Br,258,102,196.2175727,1.077,0
Dimethylammonium,Hg,Br,272,102,196.3623134,1.11,0
Pyrrolinium,Hg,Br,272,102,196.3623134,1.11,0
Ethylammonium,Hg,Br,274,102,196.1720724,1.115,0
Guanidinium,Hg,Br,278,102,195.8052476,1.125,0
Tetramethylammoium,Hg,Br,292,102,195.9647571,1.158,0
Thiazolium,Hg,Br,320,102,196.2226748,1.224,0
Tropylium,Hg,Br,333,102,196.1268263,1.255,0
Ammonium,Ge,Br,146,73,195.9974943,0.899,1
Hydroxylammonium,Ge,Br,216,73,196.002644,1.083,0
Methylammonium,Ge,Br,217,73,195.7389783,1.086,0
Hydrazinium,Ge,Br,217,73,195.7389783,1.086,0
Azetidinium,Ge,Br,250,73,196.2185973,1.172,0
Formamidinium,Ge,Br,253,73,196.1500228,1.18,0
Imidazolium,Ge,Br,258,73,196.2253142,1.193,0
Dimethylammonium,Ge,Br,272,73,196.1070459,1.23,0
Pyrrolinium,Ge,Br,272,73,196.1070459,1.23,0
Ethylammonium,Ge,Br,274,73,196.2371448,1.235,0
Guanidinium,Ge,Br,278,73,195.990006,1.246,0
Tetramethylammoium,Ge,Br,292,73,195.8977401,1.283,0
Thiazolium,Ge,Br,320,73,196.1588845,1.356,0
Tropylium,Ge,Br,333,73,195.8252465,1.391,0
Ammonium,Sn,Br,146,115,194.2017909,0.778,0
Hydroxylammonium,Sn,Br,216,115,195.6563354,0.937,1
Methylammonium,Sn,Br,217,115,196.0263079,0.939,1
Hydrazinium,Sn,Br,217,115,196.0263079,0.939,1
Azetidinium,Sn,Br,250,115,196.0509115,1.014,0
Formamidinium,Sn,Br,253,115,195.8723921,1.021,0
Imidazolium,Sn,Br,258,115,196.2292404,1.032,0
Dimethylammonium,Sn,Br,272,115,196.0615691,1.064,0
Pyrrolinium,Sn,Br,272,115,196.0615691,1.064,0
Ethylammonium,Sn,Br,274,115,195.6716909,1.069,0
Guanidinium,Sn,Br,278,115,195.7589988,1.078,0
Tetramethylammoium,Sn,Br,292,115,195.6478204,1.11,0
Thiazolium,Sn,Br,320,115,196.1375832,1.173,0
Tropylium,Sn,Br,333,115,195.8517569,1.203,0
Ammonium,Pb,Br,146,119,194.5305288,0.768,0
Hydroxylammonium,Pb,Br,216,119,195.7842698,0.925,1
Methylammonium,Pb,Br,217,119,196.1368875,0.927,1
Hydrazinium,Pb,Br,217,119,196.1368875,0.927,1
Azetidinium,Pb,Br,250,119,196.1858648,1.001,0
Formamidinium,Pb,Br,253,119,195.9034367,1.008,0
Imidazolium,Pb,Br,258,119,196.1329899,1.019,0
Dimethylammonium,Pb,Br,272,119,195.595728,1.051,0
Pyrrolinium,Pb,Br,272,119,195.595728,1.051,0
Ethylammonium,Pb,Br,274,119,196.0436547,1.055,0
Guanidinium,Pb,Br,278,119,196.0241369,1.064,0
Tetramethylammoium,Pb,Br,292,119,196.3689397,1.095,0
Thiazolium,Pb,Br,320,119,196.2153483,1.158,0
Tropylium,Pb,Br,333,119,196.32192,1.187,0
Ammonium,Eu,Br,146,117,194.2019267,0.773,0
Hydroxylammonium,Eu,Br,216,117,195.6649914,0.931,1
Methylammonium,Eu,Br,217,117,196.0270067,0.933,1
Hydrazinium,Eu,Br,217,117,196.0270067,0.933,1
Azetidinium,Eu,Br,250,117,195.553411,1.008,0
Formamidinium,Eu,Br,253,117,196.3549924,1.014,0
Imidazolium,Eu,Br,258,117,195.6502863,1.026,0
Dimethylammonium,Eu,Br,272,117,196.2428558,1.057,0
Pyrrolinium,Eu,Br,272,117,196.2428558,1.057,0
Ethylammonium,Eu,Br,274,117,195.8145559,1.062,0
Guanidinium,Eu,Br,278,117,195.8505448,1.071,0
Tetramethylammoium,Eu,Br,292,117,196.3598675,1.102,0
Thiazolium,Eu,Br,320,117,195.8019127,1.166,0
Tropylium,Eu,Br,333,117,196.0501898,1.195,0
Ammonium,Tm,Br,146,103,195.4064293,0.809,1
Hydroxylammonium,Tm,Br,216,103,196.3821523,0.974,1
Methylammonium,Tm,Br,217,103,195.674318,0.977,1
Hydrazinium,Tm,Br,217,103,195.674318,0.977,1
Azetidinium,Tm,Br,250,103,195.783337,1.055,0
Formamidinium,Tm,Br,253,103,195.8674101,1.062,0
Imidazolium,Tm,Br,258,103,195.7287458,1.074,0
Dimethylammonium,Tm,Br,272,103,195.8323892,1.107,0
Pyrrolinium,Tm,Br,272,103,195.8323892,1.107,0
Ethylammonium,Tm,Br,274,103,195.6349338,1.112,0
Guanidinium,Tm,Br,278,103,195.9749073,1.121,0
Tetramethylammoium,Tm,Br,292,103,196.0494732,1.154,0
Thiazolium,Tm,Br,320,103,196.1698192,1.22,0
Tropylium,Tm,Br,333,103,196.0192818,1.251,0
Ammonium,Yb,Br,146,102,194.6130578,0.812,1
Hydroxylammonium,Yb,Br,216,102,195.5717643,0.978,1
Methylammonium,Yb,Br,217,102,195.9820466,0.98,1
Hydrazinium,Yb,Br,217,102,195.9820466,0.98,1
Azetidinium,Yb,Br,250,102,196.2440184,1.058,0
Formamidinium,Yb,Br,253,102,196.3379353,1.065,0
Imidazolium,Yb,Br,258,102,196.2175727,1.077,0
Dimethylammonium,Yb,Br,272,102,196.3623134,1.11,0
Pyrrolinium,Yb,Br,272,102,196.3623134,1.11,0
Ethylammonium,Yb,Br,274,102,196.1720724,1.115,0
Guanidinium,Yb,Br,278,102,195.8052476,1.125,0
Tetramethylammoium,Yb,Br,292,102,195.9647571,1.158,0
Thiazolium,Yb,Br,320,102,196.2226748,1.224,0
Tropylium,Yb,Br,333,102,196.1268263,1.255,0
Ammonium,Be,I,146,45,219.6149659,0.977,1
Hydroxylammonium,Be,I,216,45,220.227151,1.163,0
Methylammonium,Be,I,217,45,220.0341329,1.166,0
Hydrazinium,Be,I,217,45,220.0341329,1.166,0
Azetidinium,Be,I,250,45,220.0551975,1.254,0
Formamidinium,Be,I,253,45,220.0567812,1.262,0
Imidazolium,Be,I,258,45,220.214902,1.275,0
Dimethylammonium,Be,I,272,45,219.9200129,1.313,0
Pyrrolinium,Be,I,272,45,219.9200129,1.313,0
Ethylammonium,Be,I,274,45,220.0667054,1.318,0
Guanidinium,Be,I,278,45,219.926317,1.329,0
Tetramethylammoium,Be,I,292,45,220.0738693,1.366,0
Thiazolium,Be,I,320,45,219.9627491,1.441,0
Tropylium,Be,I,333,45,219.8570022,1.476,0
Ammonium,Mg,I,146,72,220.4979614,0.886,1
Hydroxylammonium,Mg,I,216,72,219.8468202,1.056,0
Methylammonium,Mg,I,217,72,220.1985316,1.058,0
Hydrazinium,Mg,I,217,72,220.1985316,1.058,0
Azetidinium,Mg,I,250,72,220.1025478,1.138,0
Formamidinium,Mg,I,253,72,220.277482,1.145,0
Imidazolium,Mg,I,258,72,219.6918149,1.158,0
Dimethylammonium,Mg,I,272,72,220.2573633,1.191,0
Pyrrolinium,Mg,I,272,72,220.2573633,1.191,0
Ethylammonium,Mg,I,274,72,220.1610779,1.196,0
Guanidinium,Mg,I,278,72,219.9742972,1.206,0
Tetramethylammoium,Mg,I,292,72,219.9224459,1.24,0
Thiazolium,Mg,I,320,72,219.8363467,1.308,0
Tropylium,Mg,I,333,72,220.066546,1.339,0
Ammonium,Ca,I,146,100,219.2254825,0.809,1
